Stadium,City,Capacity,Established in
King Fahd International Stadium,Riyadh,68752,1987
Prince Faisal bin Fahad Stadium,Riyadh,22500,1971
Al Majma'ah Sports City Stadium,Al Majma'ah,7000,1980
Prince Saud bin Jalawi Stadium,Khobar,15000,1982
King Abdullah Sports City,Jeddah,63000,2014
King Abdullah Sport City Stadium,Buraidah,25000,1983
Prince Mohammed bin Abdul Aziz Stadium,Medina,24000,1979
Prince Mohamed bin Fahd Stadium,Dammam,26000,1973
Prince Abdullah bin Jalawi Stadium,Al-Hasa,19550,1983
Al-Batin Club Stadium,Hafar Al Batin,6000,2015
King Salman Bin Abdulaziz Sport City Stadium,Al Majma'ah,7000,1980
King Abdul Aziz Stadium,Mecca,38000,1984
Mrsool Park,Riyadh,25000,2015
Al-Shoalah Club Stadium,Al Kharj,8000,1985
Al-Orobah Club Stadium,Sakaka,7000,1975
Al-Ukhdood Stadium,Najran,3000,1976
Al-Qadasiya Club Stadium,Khobar,5000,1986
